event at 1712306320.285074, code 00, type 00, val 00
event at 1712306320.293076, code 00, type 00, val -3
event at 1712306320.293076, code 01, type 01, val 01
event at 1712306320.293076, code 00, type 00, val 00
event at 1712306320.301087, code 00, type 00, val -4
event at 1712306320.301087, code 01, type 01, val 01
event at 1712306320.301087, code 00, type 00, val 00
event at 1712306320.309058, code 00, type 00, val -3
event at 1712306320.309058, code 01, type 01, val 01
event at 1712306320.309058, code 00, type 00, val 00
event at 1712306320.317096, code 00, type 00, val -3
event at 1712306320.317096, code 00, type 00, val 00
event at 1712306320.325059, code 00, type 00, val -4
event at 1712306320.325059, code 01, type 01, val 01
event at 1712306320.325059, code 00, type 00, val 00
event at 1712306320.333096, code 00, type 00, val -3
event at 1712306320.333096, code 01, type 01, val 01
event at 1712306320.333096, code 00, type 00, val 00
event at 1712306320.341182, code 00, type 00, val -2
event at 1712306320.341182, code 00, type 00, val 00
event at 1712306320.349131, code 00, type 00, val -3
event at 1712306320.349131, code 01, type 01, val 01
event at 1712306320.349131, code 00, type 00, val 00
event at 1712306320.357137, code 00, type 00, val -1
event at 1712306320.357137, code 00, type 00, val 00
event at 1712306320.365116, code 00, type 00, val -4
event at 1712306320.365116, code 01, type 01, val 01
event at 1712306320.365116, code 00, type 00, val 00
event at 1712306320.373069, code 00, type 00, val -3
event at 1712306320.373069, code 01, type 01, val 01
event at 1712306320.373069, code 00, type 00, val 00
event at 1712306320.381081, code 00, type 00, val -3
event at 1712306320.381081, code 01, type 01, val 02
event at 1712306320.381081, code 00, type 00, val 00
event at 1712306320.389079, code 00, type 00, val -3
event at 1712306320.389079, code 01, type 01, val 01
event at 1712306320.389079, code 00, type 00, val 00
event at 1712306320.397106, code 00, type 00, val -3
event at 1712306320.397106, code 01, type 01, val 01
event at 1712306320.397106, code 00, type 00, val 00
event at 1712306320.405058, code 00, type 00, val -2
event at 1712306320.405058, code 00, type 00, val 00
event at 1712306320.413095, code 00, type 00, val -3
event at 1712306320.413095, code 01, type 01, val 01
event at 1712306320.413095, code 00, type 00, val 00
event at 1712306320.421098, code 00, type 00, val -2
event at 1712306320.421098, code 01, type 01, val 01
event at 1712306320.421098, code 00, type 00, val 00
event at 1712306320.429178, code 00, type 00, val -2
event at 1712306320.429178, code 01, type 01, val 01
event at 1712306320.429178, code 00, type 00, val 00
event at 1712306320.437098, code 00, type 00, val -2
event at 1712306320.437098, code 01, type 01, val 01
event at 1712306320.437098, code 00, type 00, val 00
event at 1712306320.445101, code 00, type 00, val -3
event at 1712306320.445101, code 01, type 01, val 01
event at 1712306320.445101, code 00, type 00, val 00
event at 1712306320.453093, code 00, type 00, val -3
event at 1712306320.453093, code 01, type 01, val 01
event at 1712306320.453093, code 00, type 00, val 00
event at 1712306320.461164, code 00, type 00, val -3
event at 1712306320.461164, code 01, type 01, val 01
event at 1712306320.461164, code 00, type 00, val 00
event at 1712306320.469058, code 00, type 00, val -3
event at 1712306320.469058, code 01, type 01, val 02
event at 1712306320.469058, code 00, type 00, val 00
event at 1712306320.477059, code 00, type 00, val -3
event at 1712306320.477059, code 01, type 01, val 02
event at 1712306320.477059, code 00, type 00, val 00
event at 1712306320.485096, code 00, type 00, val -3
event at 1712306320.485096, code 01, type 01, val 02
event at 1712306320.485096, code 00, type 00, val 00
event at 1712306320.493172, code 00, type 00, val -4
event at 1712306320.493172, code 01, type 01, val 01
event at 1712306320.493172, code 00, type 00, val 00
event at 1712306320.501099, code 00, type 00, val -4
event at 1712306320.501099, code 01, type 01, val 02
event at 1712306320.501099, code 00, type 00, val 00
